t,value
1578159280,79415296
1578159283,79416232
1578159286,79416232
1578159289,79416232
1578159292,79416232
1578159295,79416536
1578159298,79416536
1578159301,79416536
1578159304,79416536
1578159307,79416536
1578159310,79416536
1578159313,79416536
1578159316,79416536
1578159319,79416536
1578159322,79417504
1578159325,79417504
1578159328,79417504
1578159331,79417504
1578159334,79417504
1578159337,79417504
1578159340,79417504
1578159343,79426656
1578159346,79426656
1578159349,79426656
1578159352,79426656
1578159355,79426656
1578159358,79426656
1578159361,79431016
1578159364,79439800
1578159367,79440472
1578159370,79440472
1578159373,79440472
1578159376,79440472
1578159379,79440472
1578159382,79443376
1578159385,79443376
1578159388,79443376
1578159391,79443376
1578159394,79443376
1578159397,79443376
1578159400,79443376
1578159403,79482616
1578159406,79482616
1578159409,79764592
1578159412,79765904
1578159415,79765904
1578159418,79765904
1578159421,79767392
1578159424,79767392
1578159427,79767392
1578159430,79792464
1578159433,79792464
1578159436,81288688
1578159439,81290232
1578159442,81435072
1578159445,81469760
1578159448,81688360
1578159451,81779040
1578159454,81783352
1578159457,81783352
1578159460,81783352
1578159463,81791928
1578159466,81791928
1578159469,81791928
1578159472,81793744
1578159475,81793744
1578159478,81793744
1578159481,81798248
1578159484,81799424
1578159487,81799424
1578159490,81799424
1578159493,81803720
1578159496,81803720
1578159499,81803720
1578159502,81804968
1578159505,81804968
1578159508,81804968
1578159511,81804968
1578159514,81804968
1578159517,81804968
1578159520,81804968
1578159523,81842048
1578159526,81842048
1578159529,81842048
1578159532,81848432
1578159535,81848432
1578159538,81848432
1578159541,81851896
1578159544,81851896
1578159547,81851896
1578159550,81851896
1578159553,81851896
1578159556,81851896
1578159559,81851896
1578159562,81853576
1578159565,81853576
1578159568,81853576
1578159571,81853576
1578159574,81853576
1578159577,81853576
1578159580,81853576
1578159583,81857880
1578159586,81857880
1578159589,81857880
1578159592,81861168
1578159595,81861168
1578159598,81861168
1578159601,81864512
1578159604,81864904
1578159607,81864904
1578159610,81864904
1578159613,81864904
1578159616,81864904
1578159619,81864904
1578159622,81873488
1578159625,81873488
1578159628,81873488
1578159631,81873488
1578159634,81873488
1578159637,81873488
1578159640,81873488
1578159643,81881352
1578159646,81881352
1578159649,81881352
1578159652,81881352
1578159655,81881352
1578159658,81881352
1578159661,81900552
1578159664,81900552
1578159667,81900552
1578159670,81900552
1578159673,81900552
1578159676,81900552
1578159679,81900552
1578159682,81900552
1578159685,81900552
1578159688,81900552
1578159691,81900552
1578159694,81900552
1578159697,81900552
1578159700,81900552
1578159703,81900552
1578159706,81900552
1578159709,81900552
1578159712,81900552
1578159715,81900552
1578159718,81900552
1578159721,81900552
1578159724,81901544
1578159727,81901544
1578159730,81901544
1578159733,81901544
1578159736,81901544
1578159739,81901544
1578159742,81901544
1578159745,81901544
1578159748,81914456
1578159751,81914456
1578159754,81914456
1578159757,81914456
1578159760,81914456
1578159763,81914456
1578159766,81914456
1578159769,81914456
1578159772,81914456
1578159775,81914456
1578159778,81914456
1578159781,81914456
1578159784,81976672
1578159787,81976672
1578159790,81976672
1578159793,81976672
1578159796,81976672
1578159799,81976672
1578159802,81976672
1578159805,81976672
1578159808,81976672
1578159811,81976672
1578159814,81976672
1578159817,81976672
1578159820,81976672
1578159823,81976672
1578159826,81976672
1578159829,81976672
1578159832,81976672
1578159835,81976672
1578159838,81976672
1578159841,81976672
1578159844,81976800
1578159847,81976800
1578159850,81976800
1578159853,81976800
1578159856,81976800
1578159859,81976800
1578159862,81976800
1578159865,81976800
1578159868,81976800
1578159871,81976800
1578159874,81976800
1578159877,81976800
1578159880,81976800
1578159883,81976800
1578159886,81976800
1578159889,81976800
1578159892,81976800
1578159895,81976800
1578159898,81977176
1578159901,81977176
1578159904,81977176
1578159907,81977176
1578159910,81977176
1578159913,81977176
1578159916,81977176
1578159919,81977176
1578159922,81977176
1578159925,81977176
1578159928,81977176
1578159931,81977176
1578159934,81977176
1578159937,81977176
1578159940,81977176
1578159943,81977176
1578159946,81977176
1578159949,81977176
1578159952,81977176
1578159955,81977176
1578159958,81977176
1578159961,81977176
1578159964,81977176
1578159967,81977176
1578159970,81977176
1578159973,81977176
1578159976,81977176
1578159979,81977176
1578159982,81977176
1578159985,81977176
1578159988,81977176
1578159991,81977176
1578159994,81977176
1578159997,81977176
1578160000,81977176
1578160003,81977176
1578160006,81977176
1578160009,81977176
1578160012,81981144
1578160015,81981144
1578160018,81981144
1578160021,81981144
1578160024,81981144
1578160027,81981144
1578160030,81981144
1578160033,81981144
1578160036,81981144
1578160039,81981144
1578160042,81981144
1578160045,81981144
1578160048,81981144
1578160051,81981144
1578160054,81981144
1578160057,81981144
1578160060,81981144
1578160063,81981144
1578160066,81981144
1578160069,81981144
1578160072,81982656
1578160075,81982656
1578160078,81982656
1578160081,81982656
1578160084,81982656
1578160087,81982656
1578160090,81982656
1578160093,81982656
1578160096,81982656
1578160099,81982656
1578160102,81982656
1578160105,81982656
1578160108,81982656
1578160111,81982656
1578160114,81982656
1578160117,81982656
1578160120,81982656
1578160123,81982656
1578160126,81982656
1578160129,81982656
1578160132,81982656
1578160135,81983104
1578160138,81983104
1578160141,81983104
1578160144,81983104
1578160147,81983104
1578160150,81983104
1578160153,81983104
1578160156,81983104
1578160159,81983104
1578160162,81983104
1578160165,81983104
1578160168,81983104
1578160171,81983104
1578160174,81983104
1578160177,81983104
1578160180,81983104
1578160183,81983104
1578160186,81983104
1578160189,81983104
1578160192,81983440
1578160195,81983440
1578160198,81983440
1578160201,81983440
1578160204,81983440
1578160207,81983440
1578160210,81983440
1578160213,81983440
1578160216,81983440
1578160219,81983440
1578160222,81983440
1578160225,81983440
1578160228,81983440
1578160231,81983440
1578160234,81983440
1578160237,81983440
1578160240,81983440
1578160243,81983440
1578160246,81983440
1578160249,81983440
1578160252,81983440
1578160255,81983440
1578160258,81983440
1578160261,81983440
1578160264,81983440
1578160267,81983440
1578160270,81983440
1578160273,81983440
1578160276,81983440
1578160279,81983440
1578160282,81983440
1578160285,81983440
1578160288,81983440
1578160291,81983440
1578160294,81983440
1578160297,81983440
1578160300,81983440
1578160303,81983440
1578160306,81983440
1578160309,81983440
1578160312,81983440
1578160315,81983440
1578160318,81983440
1578160321,81983440
1578160324,81983440
1578160327,81983440
1578160330,81983440
1578160333,81983440
1578160336,81983440
1578160339,81983440
