t,value
1578159583,12
1578159586,12
1578159589,12
1578159592,12
1578159595,12
1578159598,12
1578159601,12
1578159604,12
1578159607,12
1578159610,12
1578159613,12
1578159616,12
1578159619,12
1578159622,12
1578159625,12
1578159628,12
1578159631,12
1578159634,12
1578159637,12
1578159640,12
1578159643,12
1578159646,12
1578159649,12
1578159652,12
1578159655,12
1578159658,12
1578159661,12
1578159664,12
1578159667,12
1578159670,12
1578159673,12
1578159676,12
1578159679,12
1578159682,12
1578159685,12
1578159688,12
1578159691,12
1578159694,12
1578159697,12
1578159700,12
1578159703,12
1578159706,12
1578159709,12
1578159712,12
1578159715,12
1578159718,12
1578159721,12
1578159724,12
1578159727,12
1578159730,12
1578159733,12
1578159736,12
1578159739,12
1578159742,12
1578159745,12
1578159748,12
1578159751,12
1578159754,12
1578159757,12
1578159760,12
1578159763,12
1578159766,12
1578159769,12
1578159772,12
1578159775,12
1578159778,12
1578159781,12
1578159784,12
1578159787,12
1578159790,12
1578159793,12
1578159796,12
1578159799,12
1578159802,12
1578159805,12
1578159808,12
1578159811,12
1578159814,12
1578159817,12
1578159820,12
1578159823,12
1578159826,12
1578159829,12
1578159832,12
1578159835,12
1578159838,12
1578159841,12
1578159844,12
1578159847,12
1578159850,12
1578159853,12
1578159856,12
1578159859,12
1578159862,12
1578159865,12
1578159868,12
1578159871,12
1578159874,12
1578159877,12
1578159880,12
1578159883,12
1578159886,12
1578159889,12
1578159892,12
1578159895,12
1578159898,12
1578159901,12
1578159904,12
1578159907,12
1578159910,12
1578159913,12
1578159916,12
1578159919,12
1578159922,12
1578159925,12
1578159928,12
1578159931,12
1578159934,12
1578159937,12
1578159940,12
1578159943,12
1578159946,12
1578159949,12
1578159952,12
1578159955,12
1578159958,12
1578159961,12
1578159964,12
1578159967,12
1578159970,12
1578159973,12
1578159976,12
1578159979,12
1578159982,12
1578159985,12
1578159988,12
1578159991,12
1578159994,12
1578159997,12
1578160000,12
1578160003,12
1578160006,12
1578160009,12
1578160012,12
1578160015,12
1578160018,12
1578160021,12
1578160024,12
1578160027,12
1578160030,12
1578160033,12
1578160036,12
1578160039,12
1578160042,12
1578160045,12
1578160048,12
1578160051,12
1578160054,12
1578160057,12
1578160060,12
1578160063,12
1578160066,12
1578160069,12
1578160072,12
